"JournalTitle","MedAbbr","ISSN (Print)","ISSN (Online)","NlmId"
"Advances in sex hormone research","Adv Sex Horm Res","0098-0137","","7504908"
"Advances in socio-dental research","Adv Sociodent Res","0092-9816","","0410245"
"Advances in tuberculosis research. Fortschritte der Tuberkuloseforschung. Progres de l'exploration de la tuberculose","Adv Tuberc Res","0065-3500","","0347575"
"Advances in veterinary science and comparative medicine","Adv Vet Sci Comp Med","0065-3519","","0216540"
"Advances in shock research","Adv Shock Res","0195-878X","","7908298"
"Advances in virus research","Adv Virus Res","0065-3527","1557-8399","0370441"
"Aeromedical reviews","Aeromed Rev","0065-3683","","0373063"
"Aerospace medicine","Aerosp Med","0001-9402","","7501696"
"Arztliche Forschung","Arztl Forsch","0001-9496","","7611907"
"Arztliche Jugendkunde","Arztl Jugendkd","0001-9518","","0370444"
"Asthetische Medizin","Asthet Med (Berl)","0400-6755","","0253745"
"Aesthetic plastic surgery","Aesthetic Plast Surg","0364-216X","1432-5241","7701756"
"The AFL-CIO American federationist. AFL-CIO","AFL CIO Am Fed","0149-2489","","9877748"
"The African journal of medical sciences","Afr J Med Sci","0002-0028","","7611908"
"Aging & leisure living","Aging Leis Living","0194-455X","","7910857"
"Age and ageing","Age Ageing","0002-0729","1468-2834","0375655"
"Aging","Aging","0002-0966","","0050677"
"Agents and actions","Agents Actions","0065-4299","","0213341"
"Aggiornamenti clinicoterapeutici","Aggiorn Clinico Ter","0002-0907","","0376310"
"Agents and actions. Supplements","Agents Actions Suppl","0379-0363","","7801014"
"Die Agnes Karll-Schwester, der Krankenpfleger","Agnes Karll Schwest Krankenpfleger","0944-9175","","0321470"
"Agressologie: revue internationale de physio-biologie et de pharmacologie appliquees aux effets de l'agression","Agressologie","0002-1148","","0121575"
"Aichi Gakuin Daigaku Shigakkai shi","Aichi Gakuin Daigaku Shigakkai Shi","0044-6912","","7501066"
"Archives of interamerican rheumatology : A.I.R","Arch Interam Rheumatol","","","0253226"
"Air and water pollution","Air Water Pollut","0568-3408","","0101051"
"Aktuelle Gerontologie","Aktuelle Gerontol","0300-5704","","0421403"
"Aktuelle Oto-Rhino-Laryngologie","Aktuelle Otorhinolaryngol","0065-5570","","0177222"
"American journal of otolaryngology","Am J Otolaryngol","0196-0709","1532-818X","8000029"
"Aktuelle Probleme in der Chirurgie","Aktuelle Probl Chir","0065-5589","","0267464"
"Aktuelle Probleme in Chirurgie und Orthopadie","Aktuelle Probl Chir Orthop","0378-8504","","7705398"
"Adolescent psychiatry","Adolesc Psychiatry","0065-2008","","1302147"
"Akusherstvo i ginekologiia","Akush Ginekol (Mosk)","0300-9092","2412-5679","0370456"
"Akusherstvo i ginekologiia","Akush Ginekol (Sofiia)","0324-0959","","0370455"
"The Alabama journal of medical sciences","Ala J Med Sci","0002-4252","","0376521"
"Brain & development","Brain Dev","0387-7604","1872-7131","7909235"
"The Alabama nurse","Ala Nurse","0002-4317","","14720150R"
"American College of Physicians observer","Am Coll Physicians Obs","0279-9529","","8102266"
"Bulletin - Alameda County Dental Society","Bull Alameda Cty Dent Soc","0098-3764","","7503327"
"The American journal of pediatric hematology/oncology","Am J Pediatr Hematol Oncol","0192-8562","","7908071"
"Alaska medicine","Alaska Med","0002-4538","","0370457"
"The American Journal of dermatopathology","Am J Dermatopathol","0193-1091","1533-0311","7911005"
"The Alaska nurse","Alaska Nurse","0002-4546","","0042336"
"Alcoholism, clinical and experimental research","Alcohol Clin Exp Res","0145-6008","1530-0277","7707242"
"Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie. Albrecht von Graefe's archive for clinical and experimental ophthalmology","Albrecht Von Graefes Arch Klin Exp Ophthalmol","0065-6100","","0044637"
"Alergia","Alergia","","","0140326"
"Alexandria dental journal : ADJ","Alex Dent J","1110-015X","","9426498"
"L' Alimentation et la vie","Aliment Vie","0065-6267","","0064233"
"Applied radiology","Appl Radiol","0160-9963","","7708167"
"Allergie und Asthma","Allerg Asthma (Leipz)","0375-8443","","0313664"
"Allergy","Allergy","0105-4538","1398-9995","7804028"
"Allergie- und Asthmaforschung","Allerg Asthmaforsch","0516-7132","","0370461"
"Allergie und Immunologie","Allerg Immunol (Leipz)","0323-4398","","0314702"
"Allied health and behavioral sciences","Allied Health Behav Sci","0190-0331","","7806480"
"AHME journal","AHME J","0090-7782","","0362122"
"AJR. American journal of roentgenology","AJR Am J Roentgenol","0361-803X","1546-3141","7708173"
"AIA journal. American Institute of Architects","AIA J","0001-1479","","9875078"
"AJNR. American journal of neuroradiology","AJNR Am J Neuroradiol","0195-6108","1936-959X","8003708"
"Allergologia et immunopathologia","Allergol Immunopathol (Madr)","0301-0546","1578-1267","0370073"
"Alcohol health and research world","Alcohol Health Res World","0090-838X","","0365245"
"Alabama medicine : journal of the Medical Association of the State of Alabama","Ala Med","0738-4947","","8310343"
"The Alma mater","Alma Mater (Baltimore)","0065-6445","","14730200R"
"The Alpha omegan","Alpha Omegan","0002-6417","","14730480R"
"Altern und Entwicklung. Aging and development","Altern Entwickl Aging Dev","0084-6252","","1307126"
"The Alumnae magazine","Alumnae Mag","0002-6700","","7706527"
"Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association)","Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc","0069-634X","","0042365"
"Alumni bulletin - School of Dentistry, Indiana University","Alumni Bull Sch Dent Indiana Univ","0073-7119","","7604908"
"Alumni bulletin. University of Michigan. School of Dentistry","Alumni Bull Univ Mich Sch Dent","0887-4387","","21430160R"
"Alumni magazine (Columbia University-Presbyterian Hospital School of Nursing Alumni Association)","Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc","0898-4093","","8504267"
"The American behavioral scientist","Am Behav Sci","0002-7642","1552-3381","0055030"
"American annals of the deaf","Am Ann Deaf","0002-726X","","0414670"
"American archives of rehabilitation therapy","Am Arch Rehabil Ther","0002-7324","","0370464"
"American Association of Industrial Nurses journal","Am Assoc Ind Nurses J","0098-6097","","7501070"
"American corrective therapy journal","Am Correct Ther J","0002-8088","","0135256"
"American family physician","Am Fam Physician","0002-838X","1532-0650","1272646"
"American heart journal","Am Heart J","0002-8703","1097-6744","0370465"
"American pharmacy","Am Pharm","0160-3450","","7801164"
"American rehabilitation","Am Rehabil","0362-4048","","7610370"
"The American imago; a psychoanalytic journal for the arts and sciences","Am Imago","0065-860X","1085-7931","0370466"
"American journal of art therapy","Am J Art Ther","0007-4764","","0237447"
"American Industrial Hygiene Association journal","Am Ind Hyg Assoc J","0002-8894","","0371160"
"American education","Am Educ","0002-8304","","7703832"
"Annual meeting - American Institute of Oral Biology","Annu Meet Am Inst Oral Biol","0098-6119","","7501078"
"The American journal of anatomy","Am J Anat","0002-9106","","0376312"
"American journal of botany","Am J Bot","0002-9122","1537-2197","0370467"
"The American journal of cardiology","Am J Cardiol","0002-9149","1879-1913","0207277"
"The American journal of Chinese medicine","Am J Chin Med (Gard City N Y)","0090-2942","","0354717"
"The American journal of Chinese medicine","Am J Chin Med","0192-415X","1793-6853","7901431"
"The American journal of clinical hypnosis","Am J Clin Hypn","0002-9157","2160-0562","0100626"
"The American journal of clinical nutrition","Am J Clin Nutr","0002-9165","1938-3207","0376027"
"American journal of clinical oncology","Am J Clin Oncol","0277-3732","1537-453X","8207754"
"American journal of clinical pathology","Am J Clin Pathol","0002-9173","1943-7722","0370470"
"American journal of community psychology","Am J Community Psychol","0091-0562","1573-2770","0364535"
"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics","Am J Orthod Dentofacial Orthop","0889-5406","1097-6752","8610224"
"The American journal of digestive diseases","Am J Dig Dis","0002-9211","","0404011"
"American journal of economics and sociology","Am J Econ Sociol","0002-9246","","14820160R"
"American journal of diseases of children (1960)","Am J Dis Child","0002-922X","2374-3018","0370471"
"The American journal of drug and alcohol abuse","Am J Drug Alcohol Abuse","0095-2990","1097-9891","7502510"
"American journal of epidemiology","Am J Epidemiol","0002-9262","1476-6256","7910653"
"American journal of hematology","Am J Hematol","0361-8609","1096-8652","7610369"
"American journal of kidney diseases : the official journal of the National Kidney Foundation","Am J Kidney Dis","0272-6386","1523-6838","8110075"
"American journal of health planning","Am J Health Plann","0363-7719","","7701759"
"The American journal of forensic medicine and pathology","Am J Forensic Med Pathol","0195-7910","1533-404X","8108948"
"The American journal of gastroenterology","Am J Gastroenterol","0002-9270","1572-0241","0421030"
"American journal of hospital pharmacy","Am J Hosp Pharm","0002-9289","","0370474"
"American journal of human genetics","Am J Hum Genet","0002-9297","1537-6605","0370475"
"American journal of industrial medicine","Am J Ind Med","0271-3586","1097-0274","8101110"
"American journal of law & medicine","Am J Law Med","0098-8588","","7509572"
"The American journal of medicine","Am J Med","0002-9343","1555-7162","0267200"
"The American journal of medical electronics","Am J Med Electron","0096-5286","","0061651"
"The American journal of the medical sciences","Am J Med Sci","0002-9629","1538-2990","0370506"
"American journal of medical genetics","Am J Med Genet","0148-7299","1096-8628","7708900"
"The American journal of medical technology","Am J Med Technol","0002-9335","","0370505"
"American journal of mental deficiency","Am J Ment Defic","0002-9351","","0372647"
"American journal of nephrology","Am J Nephrol","0250-8095","1421-9670","8109361"
"The American journal of nursing","Am J Nurs","0002-936X","1538-7488","0372646"
"American journal of obstetrics and gynecology","Am J Obstet Gynecol","0002-9378","1097-6868","0370476"
"The American journal of occupational therapy : official publication of the American Occupational Therapy Association","Am J Occup Ther","0272-9490","1943-7676","7705978"
"American journal of ophthalmology","Am J Ophthalmol","0002-9394","1879-1891","0370500"
"American journal of optometry and archives of American Academy of Optometry","Am J Optom Arch Am Acad Optom","0002-9408","2330-9474","0420462"
"American journal of optometry and physiological optics","Am J Optom Physiol Opt","0093-7002","2330-9512","0417614"
"American journal of orthodontics","Am J Orthod","0002-9416","","0370501"
"The American journal of orthopedic surgery","Am J Orthop Surg","0065-9002","","7611912"
"The American journal of orthopsychiatry","Am J Orthopsychiatry","0002-9432","1939-0025","0400640"
"The American journal of otology","Am J Otol","0192-9763","","7909513"
"American journal of pharmaceutical education","Am J Pharm Educ","0002-9459","1553-6467","0372650"
"The American journal of pathology","Am J Pathol","0002-9440","1525-2191","0370502"
"American journal of pharmacy and the sciences supporting public health","Am J Pharm Sci Support Public Health","0002-9467","","0416354"
"American journal of physical anthropology","Am J Phys Anthropol","0002-9483","1096-8644","0400654"
"American journal of physical medicine","Am J Phys Med","0002-9491","","0370503"
"The American journal of physiology","Am J Physiol","0002-9513","2163-5773","0370511"
"American journal of practical nursing","Am J Pract Nurs","0569-6054","","0001470"
"American journal of proctology","Am J Proctol","0002-9521","","0370472"
"American journal of proctology, gastroenterology & colon & rectal surgery","Am J Proctol Gastroenterol Colon Rectal Surg","0162-6566","","7910860"
"The American journal of psychiatry","Am J Psychiatry","0002-953X","1535-7228","0370512"
"American journal of psychoanalysis","Am J Psychoanal","0002-9548","1573-6741","0372630"
"The American journal of psychology","Am J Psychol","0002-9556","1939-8298","0370513"
"American journal of psychotherapy","Am J Psychother","0002-9564","","0110672"
"American journal of public health","Am J Public Health","0090-0036","1541-0048","1254074"
"American journal of reproductive immunology and microbiology : AJRIM","Am J Reprod Immunol Microbiol","8755-8920","2374-8192","8501543"
"The American journal of roentgenology, radium therapy, and nuclear medicine","Am J Roentgenol Radium Ther Nucl Med","0002-9580","","7605534"
"The American journal of EEG technology","Am J EEG Technol","0002-9238","","0370504"
"The American journal of sports medicine","Am J Sports Med","0363-5465","1552-3365","7609541"
"American medical news","Am Med News","0001-1843","","0226412"
"AJS; American journal of sociology","AJS","0002-9602","1537-5390","0234014"
"The American journal of surgical pathology","Am J Surg Pathol","0147-5185","1532-0979","7707904"
"American journal of surgery","Am J Surg","0002-9610","1879-1883","0370473"
"American laundry digest","Am Laund Dig","0002-9718","","9877761"
"The American journal of tropical medicine and hygiene","Am J Trop Med Hyg","0002-9637","1476-1645","0370507"
"American journal of veterinary research","Am J Vet Res","0002-9645","1943-5681","0375011"
"The American nurse","Am Nurse","0098-1486","","7506499"
"American Lung Association bulletin","Am Lung Assoc Bull","0092-5659","","0404016"
"The American orthoptic journal","Am Orthopt J","0065-955X","1553-4448","0370520"
"The American psychologist","Am Psychol","0003-066X","1935-990X","0370521"
"The American review of respiratory disease","Am Rev Respir Dis","0003-0805","","0370523"
"American scientist","Am Sci","0003-0996","1545-2786","0370514"
"American sociological review","Am Sociol Rev","0003-1224","1939-8271","0370515"
"The American surgeon","Am Surg","0003-1348","1555-9823","0370522"
"American zoologist","Am Zool","0003-1569","","0370516"
"Anais da Academia Brasileira de Ciencias","An Acad Bras Cienc","0001-3765","1678-2690","7503280"
"Anais brasileiros de dermatologia","An Bras Dermatol","0365-0596","1806-4841","0067662"
"Anais brasileiros de ginecologia","An Bras Ginecol","0365-0677","","1263440"
"Anales de cirugia","An Cir (Rosario)","0066-1465","","0376524"
"Anais da Escola Nacional de Saude Publica e de Medicina Tropical","An Esc Nacl Saude Publica Med Trop (Lisb)","0075-9767","","7500780"
"Analytical and quantitative cytology","Anal Quant Cytol","0190-0471","","7911206"
"Anales espanoles de odontoestomatologia","An Esp Odontoestomatol","0003-2557","","0370533"
"Anales espanoles de pediatria","An Esp Pediatr","0302-4342","1577-2799","0420463"
"Anales. Universidad Nacional Mayor de San Marcos. Facultad de Medicina","An Fac Med Lima","","","18330640R"
"Anales de la Facultad de Medicina, Universidad de la Republica, Montevideo, Uruguay","An Fac Med Univ Repub Montev Urug","0365-2297","","7506831"
"Anales de la Facultad de Odontologia","An Fac Odontol","0797-034X","","7506832"
"Anais da Faculdade de Odontologia da Universidade Federal de Pernambuco","An Fac Odontol Univ Fed Pernambuco","0083-3908","","7502729"
"Anasthesie, Intensivtherapie, Notfallmedizin","Anasth Intensivther Notfallmed","0174-1837","","8005775"
"Anais do Instituto de Higiene e Medicina Tropical","An Inst Hig Med Trop (Lisb)","0303-7762","","7500781"
"Anales - Instituto de Investigaciones Odontologicas, Universidad del Zulia","An Inst Invest Odontol (Maracaibo)","","","7506829"
"Anais do Instituto de Medicina Tropical","An Inst Med Trop (Lisb)","0365-3307","","7502512"
"Anales de medicina: Cirugia","An Med Cir (1955)","0517-6816","","0377477"
"Anales de medicina: Especialidades","An Med Espec","0517-6832","","0400163"
"Anales de medicina: Medicina","An Med Med","0517-6824","","0377500"
"Anais de microbiologia","An Microbiol (Rio J)","0485-1854","","0413653"
