AADE editors' journal	Aade Ed. J.	AADE Ed J
Advances in pharmacology and chemotherapy	Adv. Pharmacol. Chemother.	Adv Pharmacol Chemother
Adverse drug reactions and acute poisoning reviews	Adverse Drug React. Acute Poisoning Rev.	Adverse Drug React Acute Poisoning Rev
Advances in protein chemistry	Adv. Protein Chem.	Adv Protein Chem
Advances in prostaglandin, thromboxane, and leukotriene research	Adv. Prostaglandin Thromboxane Leukot. Res.	Adv Prostaglandin Thromboxane Leukot Res
Advances in psychobiology	Adv. Psychobiol.	Adv Psychobiol
Advances in psychosomatic medicine	Adv. Psychosom. Med.	Adv Psychosom Med
Advancement of science	Adv. Sci.	Adv Sci
Advances in steroid biochemistry and pharmacology	Adv. Steroid Biochem. Pharmacol.	Adv Steroid Biochem Pharmacol
Advances in surgery	Adv. Surg.	Adv Surg
Advances in reproductive physiology	Adv. Reprod. Physiol.	Adv Reprod Physiol
Advances in tracer methodology	Adv. Tracer Methodol.	Adv Tracer Methodol
Advances in sex hormone research	Adv. Sex Horm. Res.	Adv Sex Horm Res
Advances in socio-dental research	Adv. Sociodent. Res.	Adv Sociodent Res
Advances in tuberculosis research. Fortschritte der Tuberkuloseforschung. Progres de l'exploration de la tuberculose	Adv. Tuberc. Res.	Adv Tuberc Res
Advances in veterinary science and comparative medicine	Adv. Vet. Sci. Comp. Med.	Adv Vet Sci Comp Med
Advances in shock research	Adv. Shock Res.	Adv Shock Res
Advances in virus research	Adv. Virus Res.	Adv Virus Res
Aeromedical reviews	Aeromed. Rev.	Aeromed Rev
Aerospace medicine	Aerosp. Med.	Aerosp Med
Arztliche Forschung	Arztl. Forsch.	Arztl Forsch
Arztliche Jugendkunde	Arztl. Jugendkd.	Arztl Jugendkd
Asthetische Medizin	Asthet. Med. Berl.	Asthet Med (Berl)
Aesthetic plastic surgery	Aesthetic Plast. Surg.	Aesthetic Plast Surg
The AFL-CIO American federationist. AFL-CIO	Afl Cio Am. Fed.	AFL CIO Am Fed
The African journal of medical sciences	Afr. J. Med. Sci.	Afr J Med Sci
Aging & leisure living	Aging Leis. Living	Aging Leis Living
Age and ageing	Age Ageing	Age Ageing
Aging	Aging	Aging
Agents and actions	Agents Actions	Agents Actions
Aggiornamenti clinicoterapeutici	Aggiorn. Clinico. Ter.	Aggiorn Clinico Ter
Agents and actions. Supplements	Agents Actions Suppl.	Agents Actions Suppl
Die Agnes Karll-Schwester, der Krankenpfleger	Agnes Karll Schwest. Krankenpfleger	Agnes Karll Schwest Krankenpfleger
Agressologie: revue internationale de physio-biologie et de pharmacologie appliquees aux effets de l'agression	Agressologie	Agressologie
Aichi Gakuin Daigaku Shigakkai shi	Aichi Gakuin Daigaku Shigakkai Shi	Aichi Gakuin Daigaku Shigakkai Shi
Archives of interamerican rheumatology : A.I.R	Arch. Interam. Rheumatol.	Arch Interam Rheumatol
Air and water pollution	Air Water Pollut.	Air Water Pollut
Aktuelle Gerontologie	Aktuelle Gerontol.	Aktuelle Gerontol
Aktuelle Oto-Rhino-Laryngologie	Aktuelle Otorhinolaryngol.	Aktuelle Otorhinolaryngol
American journal of otolaryngology	Am. J. Otolaryngol.	Am J Otolaryngol
Aktuelle Probleme in der Chirurgie	Aktuelle Probl. Chir.	Aktuelle Probl Chir
Aktuelle Probleme in Chirurgie und Orthopadie	Aktuelle Probl. Chir. Orthop.	Aktuelle Probl Chir Orthop
Adolescent psychiatry	Adolesc. Psychiatry	Adolesc Psychiatry
Akusherstvo i ginekologiia	Akush. Ginekol. Mosk.	Akush Ginekol (Mosk)
Akusherstvo i ginekologiia	Akush. Ginekol. Sofiia.	Akush Ginekol (Sofiia)
The Alabama journal of medical sciences	Ala. J. Med. Sci.	Ala J Med Sci
Brain & development	Brain Dev.	Brain Dev
The Alabama nurse	Ala. Nurse	Ala Nurse
American College of Physicians observer	Am. Coll. Physicians Obs.	Am Coll Physicians Obs
Bulletin - Alameda County Dental Society	Bull. Alameda Cty. Dent. Soc.	Bull Alameda Cty Dent Soc
The American journal of pediatric hematology/oncology	Am. J. Pediatr. Hematol. Oncol.	Am J Pediatr Hematol Oncol
Alaska medicine	Alaska Med.	Alaska Med
The American Journal of dermatopathology	Am. J. Dermatopathol.	Am J Dermatopathol
The Alaska nurse	Alaska Nurse	Alaska Nurse
Alcoholism, clinical and experimental research	Alcohol. Clin. Exp. Res.	Alcohol Clin Exp Res
Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie. Albrecht von Graefe's archive for clinical and experimental ophthalmology	Albrecht Von Graefes Arch. Klin. Exp. Ophthalmol.	Albrecht Von Graefes Arch Klin Exp Ophthalmol
Alergia	Alergia	Alergia
Alexandria dental journal : ADJ	Alex. Dent. J.	Alex Dent J
L' Alimentation et la vie	Aliment. Vie	Aliment Vie
Applied radiology	Appl. Radiol.	Appl Radiol
Allergie und Asthma	Allerg. Asthma Leipz.	Allerg Asthma (Leipz)
Allergy	Allergy	Allergy
Allergie- und Asthmaforschung	Allerg. Asthmaforsch.	Allerg Asthmaforsch
Allergie und Immunologie	Allerg. Immunol. Leipz.	Allerg Immunol (Leipz)
Allied health and behavioral sciences	Allied Health Behav. Sci.	Allied Health Behav Sci
AHME journal	Ahme J.	AHME J
AJR. American journal of roentgenology	Ajr Am. J. Roentgenol.	AJR Am J Roentgenol
AIA journal. American Institute of Architects	Aia J.	AIA J
AJNR. American journal of neuroradiology	Ajnr Am. J. Neuroradiol.	AJNR Am J Neuroradiol
Allergologia et immunopathologia	Allergol. Immunopathol. Madr.	Allergol Immunopathol (Madr)
Alcohol health and research world	Alcohol Health Res. World	Alcohol Health Res World
Alabama medicine : journal of the Medical Association of the State of Alabama	Ala. Med.	Ala Med
The Alma mater	Alma Mater Baltimore.	Alma Mater (Baltimore)
The Alpha omegan	Alpha Omegan	Alpha Omegan
Altern und Entwicklung. Aging and development	Altern Entwickl. Aging Dev.	Altern Entwickl Aging Dev
The Alumnae magazine	Alumnae Mag.	Alumnae Mag
Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association)	Alumnae Mag. Columbia Univ. Presbyt. Hosp. Sch. Nurs. Alumnae Assoc.	Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc
Alumni bulletin - School of Dentistry, Indiana University	Alumni Bull. Sch. Dent. Indiana Univ.	Alumni Bull Sch Dent Indiana Univ
Alumni bulletin. University of Michigan. School of Dentistry	Alumni Bull. Univ. Mich. Sch. Dent.	Alumni Bull Univ Mich Sch Dent
Alumni magazine (Columbia University-Presbyterian Hospital School of Nursing Alumni Association)	Alumni Mag. Columbia Univ. Presbyt. Hosp. Sch. Nurs. Alumni Assoc.	Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc
The American behavioral scientist	Am. Behav. Sci.	Am Behav Sci
American annals of the deaf	Am. Ann. Deaf	Am Ann Deaf
American archives of rehabilitation therapy	Am. Arch. Rehabil. Ther.	Am Arch Rehabil Ther
American Association of Industrial Nurses journal	Am. Assoc. Ind. Nurses J.	Am Assoc Ind Nurses J
American corrective therapy journal	Am. Correct. Ther. J.	Am Correct Ther J
American family physician	Am. Fam. Physician	Am Fam Physician
American heart journal	Am. Heart J.	Am Heart J
American pharmacy	Am. Pharm.	Am Pharm
American rehabilitation	Am. Rehabil.	Am Rehabil
The American imago; a psychoanalytic journal for the arts and sciences	Am. Imago	Am Imago
American journal of art therapy	Am. J. Art Ther.	Am J Art Ther
American Industrial Hygiene Association journal	Am. Ind. Hyg. Assoc. J.	Am Ind Hyg Assoc J
American education	Am. Educ.	Am Educ
Annual meeting - American Institute of Oral Biology	Annu. Meet. Am. Inst. Oral Biol.	Annu Meet Am Inst Oral Biol
The American journal of anatomy	Am. J. Anat.	Am J Anat
American journal of botany	Am. J. Bot.	Am J Bot
The American journal of cardiology	Am. J. Cardiol.	Am J Cardiol
The American journal of Chinese medicine	Am. J. Chin. Med. Gard. City. N. Y.	Am J Chin Med (Gard City N Y)
The American journal of Chinese medicine	Am. J. Chin. Med.	Am J Chin Med
The American journal of clinical hypnosis	Am. J. Clin. Hypn.	Am J Clin Hypn
The American journal of clinical nutrition	Am. J. Clin. Nutr.	Am J Clin Nutr
American journal of clinical oncology	Am. J. Clin. Oncol.	Am J Clin Oncol
American journal of clinical pathology	Am. J. Clin. Pathol.	Am J Clin Pathol
American journal of community psychology	Am. J. Community Psychol.	Am J Community Psychol
American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics	Am. J. Orthod. Dentofacial Orthop.	Am J Orthod Dentofacial Orthop
The American journal of digestive diseases	Am. J. Dig. Dis.	Am J Dig Dis
American journal of economics and sociology	Am. J. Econ. Sociol.	Am J Econ Sociol
American journal of diseases of children (1960)	Am. J. Dis. Child.	Am J Dis Child
The American journal of drug and alcohol abuse	Am. J. Drug Alcohol Abuse	Am J Drug Alcohol Abuse
American journal of epidemiology	Am. J. Epidemiol.	Am J Epidemiol
American journal of hematology	Am. J. Hematol.	Am J Hematol
American journal of kidney diseases : the official journal of the National Kidney Foundation	Am. J. Kidney Dis.	Am J Kidney Dis
American journal of health planning	Am. J. Health Plann.	Am J Health Plann
The American journal of forensic medicine and pathology	Am. J. Forensic Med. Pathol.	Am J Forensic Med Pathol
The American journal of gastroenterology	Am. J. Gastroenterol.	Am J Gastroenterol
American journal of hospital pharmacy	Am. J. Hosp. Pharm.	Am J Hosp Pharm
American journal of human genetics	Am. J. Hum. Genet.	Am J Hum Genet
American journal of industrial medicine	Am. J. Ind. Med.	Am J Ind Med
American journal of law & medicine	Am. J. Law Med.	Am J Law Med
The American journal of medicine	Am. J. Med.	Am J Med
The American journal of medical electronics	Am. J. Med. Electron.	Am J Med Electron
The American journal of the medical sciences	Am. J. Med. Sci.	Am J Med Sci
American journal of medical genetics	Am. J. Med. Genet.	Am J Med Genet
The American journal of medical technology	Am. J. Med. Technol.	Am J Med Technol
American journal of mental deficiency	Am. J. Ment. Defic.	Am J Ment Defic
American journal of nephrology	Am. J. Nephrol.	Am J Nephrol
The American journal of nursing	Am. J. Nurs.	Am J Nurs
American journal of obstetrics and gynecology	Am. J. Obstet. Gynecol.	Am J Obstet Gynecol
The American journal of occupational therapy : official publication of the American Occupational Therapy Association	Am. J. Occup. Ther.	Am J Occup Ther
American journal of ophthalmology	Am. J. Ophthalmol.	Am J Ophthalmol
American journal of optometry and archives of American Academy of Optometry	Am. J. Optom. Arch. Am. Acad. Optom.	Am J Optom Arch Am Acad Optom
American journal of optometry and physiological optics	Am. J. Optom. Physiol. Opt.	Am J Optom Physiol Opt
American journal of orthodontics	Am. J. Orthod.	Am J Orthod
The American journal of orthopedic surgery	Am. J. Orthop. Surg.	Am J Orthop Surg
The American journal of orthopsychiatry	Am. J. Orthopsychiatry	Am J Orthopsychiatry
The American journal of otology	Am. J. Otol.	Am J Otol
American journal of pharmaceutical education	Am. J. Pharm. Educ.	Am J Pharm Educ
The American journal of pathology	Am. J. Pathol.	Am J Pathol
American journal of pharmacy and the sciences supporting public health	Am. J. Pharm. Sci. Support. Public Health	Am J Pharm Sci Support Public Health
American journal of physical anthropology	Am. J. Phys. Anthropol.	Am J Phys Anthropol
American journal of physical medicine	Am. J. Phys. Med.	Am J Phys Med
The American journal of physiology	Am. J. Physiol.	Am J Physiol
American journal of practical nursing	Am. J. Pract. Nurs.	Am J Pract Nurs
American journal of proctology	Am. J. Proctol.	Am J Proctol
American journal of proctology, gastroenterology & colon & rectal surgery	Am. J. Proctol. Gastroenterol. Colon Rectal Surg.	Am J Proctol Gastroenterol Colon Rectal Surg
The American journal of psychiatry	Am. J. Psychiatry	Am J Psychiatry
American journal of psychoanalysis	Am. J. Psychoanal.	Am J Psychoanal
The American journal of psychology	Am. J. Psychol.	Am J Psychol
American journal of psychotherapy	Am. J. Psychother.	Am J Psychother
American journal of public health	Am. J. Public Health	Am J Public Health
American journal of reproductive immunology and microbiology : AJRIM	Am. J. Reprod. Immunol. Microbiol.	Am J Reprod Immunol Microbiol
The American journal of roentgenology, radium therapy, and nuclear medicine	Am. J. Roentgenol. Radium Ther. Nucl. Med.	Am J Roentgenol Radium Ther Nucl Med
The American journal of EEG technology	Am. J. Eeg Technol.	Am J EEG Technol
The American journal of sports medicine	Am. J. Sports Med.	Am J Sports Med
American medical news	Am. Med. News	Am Med News
AJS; American journal of sociology	Ajs	AJS
The American journal of surgical pathology	Am. J. Surg. Pathol.	Am J Surg Pathol
American journal of surgery	Am. J. Surg.	Am J Surg
American laundry digest	Am. Laund. Dig.	Am Laund Dig
The American journal of tropical medicine and hygiene	Am. J. Trop. Med. Hyg.	Am J Trop Med Hyg
American journal of veterinary research	Am. J. Vet. Res.	Am J Vet Res
The American nurse	Am. Nurse	Am Nurse
American Lung Association bulletin	Am. Lung Assoc. Bull.	Am Lung Assoc Bull
The American orthoptic journal	Am. Orthopt. J.	Am Orthopt J
The American psychologist	Am. Psychol.	Am Psychol
The American review of respiratory disease	Am. Rev. Respir. Dis.	Am Rev Respir Dis
American scientist	Am. Sci.	Am Sci
American sociological review	Am. Sociol. Rev.	Am Sociol Rev
The American surgeon	Am. Surg.	Am Surg
American zoologist	Am. Zool.	Am Zool
Anais da Academia Brasileira de Ciencias	An. Acad. Bras. Cienc.	An Acad Bras Cienc
Anais brasileiros de dermatologia	An. Bras. Dermatol.	An Bras Dermatol
Anais brasileiros de ginecologia	An. Bras. Ginecol.	An Bras Ginecol
Anales de cirugia	An. Cir. Rosario.	An Cir (Rosario)
Anais da Escola Nacional de Saude Publica e de Medicina Tropical	An. Esc. Nacl. Saude Publica Med. Trop. Lisb.	An Esc Nacl Saude Publica Med Trop (Lisb)
Analytical and quantitative cytology	Anal. Quant. Cytol.	Anal Quant Cytol
Anales espanoles de odontoestomatologia	An. Esp. Odontoestomatol.	An Esp Odontoestomatol
Anales espanoles de pediatria	An. Esp. Pediatr.	An Esp Pediatr
Anales. Universidad Nacional Mayor de San Marcos. Facultad de Medicina	An. Fac. Med. Lima.	An Fac Med Lima
Anales de la Facultad de Medicina, Universidad de la Republica, Montevideo, Uruguay	An. Fac. Med. Univ. Repub. Montev. Urug.	An Fac Med Univ Repub Montev Urug
Anales de la Facultad de Odontologia	An. Fac. Odontol.	An Fac Odontol
Anais da Faculdade de Odontologia da Universidade Federal de Pernambuco	An. Fac. Odontol. Univ. Fed. Pernambuco	An Fac Odontol Univ Fed Pernambuco
Anasthesie, Intensivtherapie, Notfallmedizin	Anasth. Intensivther. Notfallmed.	Anasth Intensivther Notfallmed
Anais do Instituto de Higiene e Medicina Tropical	An. Inst. Hig. Med. Trop. Lisb.	An Inst Hig Med Trop (Lisb)
Anales - Instituto de Investigaciones Odontologicas, Universidad del Zulia	An. Inst. Invest. Odontol. Maracaibo.	An Inst Invest Odontol (Maracaibo)
Anais do Instituto de Medicina Tropical	An. Inst. Med. Trop. Lisb.	An Inst Med Trop (Lisb)
Anales de medicina: Cirugia	An. Med. Cir. 1955.	An Med Cir (1955)
Anales de medicina: Especialidades	An. Med. Espec.	An Med Espec
Anales de medicina: Medicina	An. Med. Med.	An Med Med
Anais de microbiologia	An. Microbiol. Rio. J.	An Microbiol (Rio J)
Anales otorrinolaringologicos ibero-americanos	An. Otorrinolaringol. Ibero Am.	An Otorrinolaringol Ibero Am
Anais paulistas de medicina e cirurgia	An. Paul. Med. Cir.	An Paul Med Cir
Anales del Programa Academico de Medicina	An. Programa Acad. Med. Lima.	An Programa Acad Med (Lima)
Anales de la Real Academia de Farmacia	An. Real Acad. Farm.	An Real Acad Farm
Anales de la Real Academia Nacional de Medicina	An. R. Acad. Nac. Med. Madr.	An R Acad Nac Med (Madr)
ANA clinical sessions	Ana Clin. Sess.	ANA Clin Sess
American Nurses Association Publications	Ana. Publ.	ANA Publ
ANA clinical conferences	Ana Clin. Conf.	ANA Clin Conf
Anaesthesia and intensive care	Anaesth. Intensive Care	Anaesth Intensive Care
Anaesthesia, resuscitation, and intensive therapy	Anaesth. Resusc. Intensive Ther.	Anaesth Resusc Intensive Ther
Anaesthesia	Anaesthesia	Anaesthesia
Anasthesiologische und intensivmedizinische Praxis	Anasthesiol. Intensivmed. Prax.	Anasthesiol Intensivmed Prax
Der Anaesthesist	Anaesthesist	Anaesthesist
Analytical biochemistry	Anal. Biochem.	Anal Biochem
Analytical chemistry	Anal. Chem.	Anal Chem
Analytica chimica acta	Anal. Chim. Acta	Anal Chim Acta
The Analyst	Analyst	Analyst
Anatomischer Anzeiger	Anat. Anz.	Anat Anz
Anatomia, histologia, embryologia	Anat. Histol. Embryol.	Anat Histol Embryol
Anatomy and embryology	Anat. Embryol. Berl.	Anat Embryol (Berl)
The Anatomical record	Anat. Rec.	Anat Rec
The Anatomical record. Supplement : an offical publication of the American Association of Anatomists	Anat. Rec. Suppl.	Anat Rec Suppl
Andrologia	Andrologia	Andrologia
Andrologie	Andrologie	Andrologie
ANEC	Anec	ANEC
Anesthesia and analgesia	Anesth. Analg.	Anesth Analg
Anesthesie, analgesie, reanimation	Anesth. Analg. Paris.	Anesth Analg (Paris)
Anesthesia progress	Anesth. Prog.	Anesth Prog
Anesthesiology	Anesthesiology	Anesthesiology
Anesteziologiia i reanimatologiia	Anesteziol. Reanimatol.	Anesteziol Reanimatol
Angeiologie	Angeiologie	Angeiologie
American journal of infection control	Am. J. Infect. Control	Am J Infect Control
Angewandte Chemie (International ed. in English)	Angew. Chem. Int. Ed Engl.	Angew Chem Int Ed Engl
Angewandte Parasitologie	Angew. Parasitol.	Angew Parasitol
Angiologia	Angiologia	Angiologia
Angiologica	Angiologica	Angiologica
Angiology	Angiology	Angiology
The Angle orthodontist	Angle Orthod.	Angle Orthod
Anglo-German medical review. Deutsch-englische medizinische Rundschau	Anglo Ger. Med. Rev.	Anglo Ger Med Rev
Animal behaviour	Anim. Behav.	Anim Behav
Animal blood groups and biochemical genetics	Anim. Blood Groups Biochem. Genet.	Anim Blood Groups Biochem Genet
Animal genetics	Anim. Genet.	Anim Genet
Annales Academiae Medicae Stetinensis	Ann. Acad. Med. Stetin.	Ann Acad Med Stetin
Suomalainen Tiedeakatemia toimituksia. Sar. A.4: Biologica	Ann. Acad. Sci. Fenn. Biol.	Ann Acad Sci Fenn Biol
Annales Academiae Medicae Stetinensis. Suplement	Ann. Acad. Med. Stetin. Supl.	Ann Acad Med Stetin Supl
Annales Academiae Scientiarum Fennicae. Ser. A.5, Medica	Ann. Acad. Sci. Fenn. A	Ann Acad Sci Fenn A
Annals of allergy	Ann. Allergy	Ann Allergy
Annales d'anatomie pathologique	Ann. Anat. Pathol. Paris.	Ann Anat Pathol (Paris)
Annales de l'anesthesiologie francaise	Ann. Anesthesiol. Fr.	Ann Anesthesiol Fr
The Annals of applied biology	Ann. Appl. Biol.	Ann Appl Biol
Annals of the Australian College of Dental Surgeons	Ann. Aust. Coll. Dent. Surg.	Ann Aust Coll Dent Surg
Annals of emergency medicine	Ann. Emerg. Med.	Ann Emerg Med
Annales de biologie animale, biochimie, biophysique	Ann. Biol. Anim. Biochim. Biophys.	Ann Biol Anim Biochim Biophys
Annales de biologie clinique	Ann. Biol. Clin. Paris.	Ann Biol Clin (Paris)
Annales francaises d'anesthesie et de reanimation	Ann. Fr. Anesth. Reanim.	Ann Fr Anesth Reanim
Annals of biomedical engineering	Ann. Biomed. Eng.	Ann Biomed Eng
Annales de cardiologie et d'angeiologie	Ann. Cardiol. Angeiol. Paris.	Ann Cardiol Angeiol (Paris)
Annales de chirurgie	Ann. Chir.	Ann Chir
Annales chirurgiae et gynaecologiae Fenniae	Ann. Chir. Gynaecol. Fenn.	Ann Chir Gynaecol Fenn
Annales de chirurgie infantile	Ann. Chir. Infant.	Ann Chir Infant
Annales chirurgiae et gynaecologiae	Ann. Chir. Gynaecol.	Ann Chir Gynaecol
Annales chirurgiae et gynaecologiae. Supplementum	Ann. Chir. Gynaecol. Suppl.	Ann Chir Gynaecol Suppl
Annales chirurgiae et gynaecologiae Fenniae. Supplementum	Ann. Chir. Gynaecol. Fenn. Suppl.	Ann Chir Gynaecol Fenn Suppl
